Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
01-Sep-23,EQ,604.2,614.9,601.9,601,610.4,611.2,609.91,665.4,375.2,"1,02,97,492","6,28,05,25,718.10","1,82,015"
31-Aug-23,EQ,608.8,609.65,599.05,605.55,601.9,601,603.88,665.4,375.2,"1,05,44,271","6,36,74,65,563.95","1,49,603"
30-Aug-23,EQ,611.2,612.9,605,607.15,606.65,605.55,609.24,665.4,375.2,"56,76,055","3,45,81,00,346.70","1,10,514"
29-Aug-23,EQ,603.6,610.5,603.6,602.4,607.65,607.15,607.69,665.4,375.2,"69,56,667","4,22,74,70,423.75","1,08,463"
28-Aug-23,EQ,605.4,608.5,601.55,605.1,603,602.4,604.74,665.4,375.2,"74,79,254","4,52,30,34,713.60","1,36,397"
25-Aug-23,EQ,610.85,616.7,593.3,610.95,601.8,605.1,606.07,665.4,375.2,"1,60,75,509","9,74,29,24,758.50","2,24,142"
24-Aug-23,EQ,618,619,609.65,613.9,611.65,610.95,613.96,665.4,375.2,"70,96,025","4,35,66,94,947.50","1,26,558"
23-Aug-23,EQ,622.75,622.75,613.15,620.2,614.5,613.9,615.89,665.4,375.2,"82,48,333","5,08,01,04,176.50","1,32,089"
22-Aug-23,EQ,621.8,626.5,618.6,620.5,619.45,620.2,622.7,665.4,375.2,"85,34,395","5,31,43,60,611.05","1,19,046"
21-Aug-23,EQ,617,623.3,614.8,615.8,619.5,620.5,620.41,665.4,375.2,"95,80,365","5,94,37,23,319.55","1,60,367"
18-Aug-23,EQ,612.8,620.1,610.9,613.75,613.2,615.8,615.76,665.4,375.2,"1,11,90,760","6,89,08,62,422.10","1,91,535"
17-Aug-23,EQ,620,622,611,618.75,613.35,613.75,614.99,665.4,375.2,"1,21,19,293","7,45,32,54,415.40","1,96,731"
16-Aug-23,EQ,606.7,621.35,597.3,607.35,617.8,618.75,610.75,665.4,375.2,"1,45,62,074","8,89,37,46,444.75","2,18,419"
14-Aug-23,EQ,612,612,594.5,611.8,606.8,607.35,602.18,665.4,375.2,"1,44,92,164","8,72,68,74,255.65","3,28,524"
11-Aug-23,EQ,619.75,624.75,610,618.25,611.9,611.8,616.76,665.4,375.2,"93,47,707","5,76,52,64,757.15","1,72,588"
10-Aug-23,EQ,623,628.3,598,622.55,617.5,618.25,605.43,665.4,375.2,"5,31,16,980","32,15,86,84,030.15","2,79,839"
09-Aug-23,EQ,610.6,624,605.35,607.3,623.5,622.55,614.69,665.4,375.2,"1,33,62,350","8,21,37,13,920.75","1,90,843"
08-Aug-23,EQ,612.55,614.75,605.25,609.5,607.95,607.3,609.23,665.4,375.2,"88,63,640","5,40,00,17,786.55","2,00,799"
07-Aug-23,EQ,619,619,608.5,615,610,609.5,611.74,665.4,375.2,"98,93,466","6,05,22,70,883.65","1,84,528"
04-Aug-23,EQ,624.85,625,613.3,618.95,615.8,615,617.24,665.4,375.2,"1,18,06,739","7,28,75,61,209.60","2,03,649"
03-Aug-23,EQ,623,626.45,614.15,622.65,619.8,618.95,620.1,665.4,375.2,"1,14,58,920","7,10,57,32,473.20","1,88,647"
02-Aug-23,EQ,644,644.3,616.45,643.65,623,622.65,626.67,665.4,375.2,"1,57,62,687","9,87,80,76,233.55","2,75,002"
01-Aug-23,EQ,645,652.9,642,644.3,642.9,643.65,647.67,665.4,375.2,"89,24,219","5,77,99,68,945.75","1,70,823"
31-Jul-23,EQ,640.2,645.55,635.9,635.3,644.3,644.3,642.98,665.4,375.2,"75,02,361","4,82,38,37,741.50","1,72,623"
28-Jul-23,EQ,646,646,631.8,643.7,635.85,635.3,636.11,665.4,375.2,"92,99,530","5,91,55,66,105.65","1,68,753"
27-Jul-23,EQ,647,648.45,636.75,641.1,646,643.7,643.67,665.4,375.2,"1,16,96,851","7,52,89,22,145.50","2,19,355"
26-Jul-23,EQ,640,665.4,639,639.45,639,641.1,650.43,665.4,375.2,"3,16,73,714","20,60,16,75,207.20","4,39,456"
25-Jul-23,EQ,636,642.5,633.35,629.25,641.8,639.45,638.97,642.5,375.2,"1,39,88,137","8,93,79,51,714.05","2,40,989"
24-Jul-23,EQ,627.95,634.45,626.25,625.75,630,629.25,630.31,634.8,375.2,"1,22,47,844","7,71,99,97,621.50","1,91,129"
21-Jul-23,EQ,621,631,617.7,621.65,626.25,625.75,626.12,634.8,375.2,"1,29,14,610","8,08,60,56,636.55","2,28,093"
20-Jul-23,EQ,622.65,623.6,616.2,620.6,621.7,621.65,620.11,634.8,375.2,"78,34,891","4,85,85,29,427.05","1,46,994"
19-Jul-23,EQ,614,625.3,610.15,612.1,620,620.6,618.79,634.8,375.2,"1,11,28,348","6,88,61,29,207.45","1,77,036"
